ρ values and their average failure times:
-0.95000, 17.92
-0.94045, 18.79
-0.93090, 19.79
-0.92136, 20.95
-0.91181, 22.05
-0.90226, 23.16
-0.89271, 24.19
-0.88317, 25.98
-0.87362, 26.84
-0.86407, 28.24
-0.85452, 29.97
-0.84497, 31.90
-0.83543, 34.31
-0.82588, 36.20
-0.81633, 38.55
-0.80678, 40.10
-0.79724, 42.00
-0.78769, 44.06
-0.77814, 47.05
-0.76859, 50.42
-0.75905, 54.50
-0.74950, 58.73
-0.73995, 61.67
-0.73040, 65.58
-0.72085, 68.22
-0.71131, 72.67
-0.70176, 76.03
-0.69221, 81.00
-0.68266, 85.89
-0.67312, 90.76
-0.66357, 95.86
-0.65402, 102.07
-0.64447, 109.13
-0.63492, 115.56
-0.62538, 121.36
-0.61583, 125.83
-0.60628, 133.31
-0.59673, 139.44
-0.58719, 144.76
-0.57764, 150.92
-0.56809, 157.24
-0.55854, 162.27
-0.54899, 169.44
-0.53945, 177.70
-0.52990, 187.03
-0.52035, 193.79
-0.51080, 204.95
-0.50126, 216.96
-0.49171, 227.10
-0.48216, 236.80
-0.47261, 247.23
-0.46307, 261.68
-0.45352, 274.84
-0.44397, 293.27
-0.43442, 302.48
-0.42487, 312.07
-0.41533, 328.09
-0.40578, 335.10
-0.39623, 343.64
-0.38668, 357.21
-0.37714, 374.41
-0.36759, 392.28
-0.35804, 398.00
-0.34849, 409.41
-0.33894, 419.33
-0.32940, 430.26
-0.31985, 441.47
-0.31030, 454.25
-0.30075, 470.21
-0.29121, 487.03
-0.28166, 498.31
-0.27211, 512.60
-0.26256, 539.19
-0.25302, 554.50
-0.24347, 568.09
-0.23392, 575.71
-0.22437, 592.16
-0.21482, 599.05
-0.20528, 610.16
-0.19573, 624.52
-0.18618, 635.87
-0.17663, 652.64
-0.16709, 653.37
-0.15754, 668.69
-0.14799, 675.99
-0.13844, 680.68
-0.12889, 690.14
-0.11935, 695.79
-0.10980, 707.32
-0.10025, 707.82
-0.09070, 715.54
-0.08116, 720.24
-0.07161, 730.25
-0.06206, 741.62
-0.05251, 743.86
-0.04296, 747.16
-0.03342, 754.25
-0.02387, 748.11
-0.01432, 744.33
-0.00477, 751.19
0.00477, 748.48
0.01432, 748.04
0.02387, 740.42
0.03342, 734.18
0.04296, 733.71
0.05251, 733.62
0.06206, 724.79
0.07161, 720.31
0.08116, 713.63
0.09070, 702.03
0.10025, 697.23
0.10980, 699.98
0.11935, 694.61
0.12889, 682.98
0.13844, 665.16
0.14799, 657.86
0.15754, 647.24
0.16709, 641.87
0.17663, 626.78
0.18618, 620.07
0.19573, 610.76
0.20528, 600.02
0.21482, 591.29
0.22437, 584.58
0.23392, 575.83
0.24347, 561.08
0.25302, 548.19
0.26256, 536.38
0.27211, 526.92
0.28166, 517.27
0.29121, 504.72
0.30075, 495.07
0.31030, 479.68
0.31985, 472.07
0.32940, 455.48
0.33894, 441.60
0.34849, 430.88
0.35804, 419.08
0.36759, 410.60
0.37714, 400.07
0.38668, 385.12
0.39623, 367.95
0.40578, 358.58
0.41533, 341.79
0.42487, 327.38
0.43442, 316.97
0.44397, 306.46
0.45352, 295.30
0.46307, 283.77
0.47261, 271.10
0.48216, 259.24
0.49171, 254.22
0.50126, 245.64
0.51080, 236.98
0.52035, 227.48
0.52990, 214.26
0.53945, 203.16
0.54899, 189.03
0.55854, 182.65
0.56809, 175.29
0.57764, 168.85
0.58719, 161.65
0.59673, 155.97
0.60628, 149.43
0.61583, 144.01
0.62538, 137.18
0.63492, 130.77
0.64447, 124.26
0.65402, 119.24
0.66357, 115.51
0.67312, 111.38
0.68266, 107.66
0.69221, 103.00
0.70176, 100.20
0.71131, 95.74
0.72085, 91.49
0.73040, 87.21
0.73995, 85.07
0.74950, 82.89
0.75905, 79.55
0.76859, 77.14
0.77814, 74.35
0.78769, 72.08
0.79724, 68.88
0.80678, 66.81
0.81633, 64.03
0.82588, 61.49
0.83543, 59.88
0.84497, 57.50
0.85452, 55.60
0.86407, 53.12
0.87362, 52.61
0.88317, 50.64
0.89271, 49.38
0.90226, 49.45
0.91181, 48.49
0.92136, 47.91
0.93090, 48.36
0.94045, 48.41
0.95000, 48.66

Best rho: -0.03342 (avg failure time 754.25)

Total computation time: 49.21 seconds
